xSteel Tliquidus H T Herr OX_LIQUID_m OX_LIQUID_xU OX_LIQUID_xZR OX_LIQUID_xFE OX_LIQUID_xUO2 OX_LIQUID_xZRO2 OX_LIQUID_xFEO OX_LIQUID_xFE2O3 MET_LIQUID_m MET_LIQUID_xU MET_LIQUID_xZR MET_LIQUID_xFE MET_LIQUID_xUO2 MET_LIQUID_xZRO2 MET_LIQUID_xFEO MET_LIQUID_xFE2O3 C1_FCC_m C1_FCC_xU C1_FCC_xZR C1_FCC_xFE C1_FCC_xUO2 C1_FCC_xZRO2 C1_FCC_xFEO C1_FCC_xFE2O3
0.000000E+00 0.276701E+04 0.145508E+07 0.290000E+04 0.0  0.100000E+01 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.000000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.000000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0 
0.500000E-01 0.271811E+04 0.151690E+07 0.284639E+04 0.0  0.100000E+01 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.500000E-01 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.000000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0 
0.100000E+00 0.267365E+04 0.157871E+07 0.279784E+04 0.0  0.100000E+01 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.100000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.000000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0 
0.150000E+00 0.263306E+04 0.164052E+07 0.275144E+04 0.0  0.101772E+01 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.150000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0 -0.177167E-01 0.0  0.0  0.0  0.0  0.0  0.0  0.0 
0.200000E+00 0.259584E+04 0.170233E+07 0.272541E+04 0.0  0.675707E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.200000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.324293E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0 
0.250000E+00 0.256161E+04 0.176414E+07 0.270647E+04 0.0  0.476725E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.250000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.523275E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0 
0.300000E+00 0.253001E+04 0.182595E+07 0.268830E+04 0.0  0.370571E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.300000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.629429E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0 
0.350000E+00 0.250075E+04 0.188777E+07 0.267023E+04 0.0  0.315728E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.350000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.684272E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0 
0.400000E+00 0.247358E+04 0.194958E+07 0.265280E+04 0.0  0.281318E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.400000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.718682E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0 
0.450000E+00 0.244829E+04 0.201139E+07 0.263647E+04 0.0  0.251647E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.450000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.748353E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0 
0.500000E+00 0.242468E+04 0.207320E+07 0.262124E+04 0.0  0.223840E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.500000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.776160E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0 
0.550000E+00 0.240259E+04 0.213501E+07 0.260682E+04 0.0  0.199342E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.550000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.800658E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0 
0.600000E+00 0.238188E+04 0.219682E+07 0.259276E+04 0.0  0.179732E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.600000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.820268E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0 
0.650000E+00 0.236243E+04 0.225863E+07 0.257890E+04 0.0  0.166114E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.650000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.833886E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0 
0.700000E+00 0.234413E+04 0.232045E+07 0.256519E+04 0.0  0.158318E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.700000E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.841682E+00 0.0  0.0  0.0  0.0  0.0  0.0  0.0 
