xSteel Tliquidus H T Herr OX_LIQUID_m OX_LIQUID_xU OX_LIQUID_xZR OX_LIQUID_xFE OX_LIQUID_xUO2 OX_LIQUID_xZRO2 OX_LIQUID_xFEO OX_LIQUID_xFE2O3 MET_LIQUID_m MET_LIQUID_xU MET_LIQUID_xZR MET_LIQUID_xFE MET_LIQUID_xUO2 MET_LIQUID_xZRO2 MET_LIQUID_xFEO MET_LIQUID_xFE2O3 C1_FCC_m C1_FCC_xU C1_FCC_xZR C1_FCC_xFE C1_FCC_xUO2 C1_FCC_xZRO2 C1_FCC_xFEO C1_FCC_xFE2O3
0.000000E+00 2.714290E+03 -2.769287E+06 2.900000E+03 0.000000E+00 1.000000E+00 1.247480E-01 6.896438E-02 3.596063E-12 6.126580E-01 1.936295E-01 5.150347E-13 7.359169E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
5.000000E-02 2.802012E+03 -2.702805E+06 2.887214E+03 2.705670E-02 8.970070E-01 8.037877E-02 4.127427E-02 1.009671E-03 6.471330E-01 2.301074E-01 9.602327E-05 6.195149E-07 1.529930E-01 5.229012E-01 1.406388E-01 3.204187E-01 7.498744E-03 8.517602E-03 2.482073E-05 2.736458E-08 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-01 2.824909E+03 -2.636322E+06 2.845243E+03 -1.592651E-02 8.592708E-01 6.239272E-02 2.974063E-02 8.903786E-04 6.604277E-01 2.464028E-01 1.443623E-04 1.132669E-06 2.407292E-01 4.559932E-01 1.191766E-01 4.117749E-01 5.591626E-03 7.424146E-03 3.944197E-05 4.599810E-08 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.500000E-01 2.834765E+03 -2.569839E+06 2.829911E+03 4.324918E-01 7.512784E-01 5.272880E-02 2.431354E-02 8.626049E-04 6.600102E-01 2.618923E-01 1.905996E-04 1.676723E-06 3.114065E-01 4.027213E-01 1.060914E-01 4.791759E-01 4.720502E-03 7.234581E-03 5.620016E-05 6.950768E-08 8.731508E-02 2.641357E-02 1.657262E-02 0.000000E+00 7.677302E-01 1.892597E-01 2.378763E-05 0.000000E+00
2.000000E-01 2.839876E+03 -2.503357E+06 2.828808E+03 8.473634E-02 6.074132E-01 4.681141E-02 2.133532E-02 8.764856E-04 6.536640E-01 2.770724E-01 2.379635E-04 2.259691E-06 3.746507E-01 3.592647E-01 9.700919E-02 5.320133E-01 4.244216E-03 7.392103E-03 7.639510E-05 1.003370E-07 2.179361E-01 2.201301E-02 1.498852E-02 0.000000E+00 7.578184E-01 2.051493E-01 3.069879E-05 0.000000E+00
2.500000E-01 2.842820E+03 -2.436874E+06 2.826646E+03 -7.770555E-02 4.685601E-01 4.268001E-02 1.926946E-02 8.885548E-04 6.466930E-01 2.901863E-01 2.796000E-04 2.813814E-06 4.342279E-01 3.245023E-01 8.954455E-02 5.744204E-01 3.887840E-03 7.549197E-03 9.561732E-05 1.314993E-07 3.472120E-01 1.888328E-02 1.383375E-02 0.000000E+00 7.473979E-01 2.198479E-01 3.706498E-05 0.000000E+00
3.000000E-01 2.844644E+03 -2.370391E+06 2.824291E+03 -3.046350E-01 3.329399E-01 3.963894E-02 1.774523E-02 8.997193E-04 6.397335E-01 3.016623E-01 3.167190E-04 3.340637E-06 4.916985E-01 2.960611E-01 8.330341E-02 6.092101E-01 3.611480E-03 7.700047E-03 1.137145E-04 1.623145E-07 4.753615E-01 1.656133E-02 1.295526E-02 0.000000E+00 7.370616E-01 2.333789E-01 4.293268E-05 0.000000E+00
3.500000E-01 2.845838E+03 -2.303909E+06 2.822083E+03 3.481152E-01 1.996532E-01 3.730606E-02 1.656663E-02 9.102079E-04 6.330940E-01 3.117687E-01 3.503269E-04 3.844744E-06 5.478529E-01 2.723726E-01 7.800211E-02 6.382608E-01 3.391513E-03 7.842091E-03 1.307306E-04 1.925223E-07 6.024938E-01 1.478018E-02 1.226247E-02 0.000000E+00 7.271380E-01 2.457709E-01 4.836584E-05 0.000000E+00
4.000000E-01 2.846656E+03 -2.237426E+06 2.820140E+03 2.808111E-01 6.817500E-02 3.545446E-02 1.562120E-02 9.200688E-04 6.269090E-01 3.207094E-01 3.811879E-04 4.330670E-06 6.031325E-01 2.523503E-01 7.343540E-02 6.628802E-01 3.212777E-03 7.974410E-03 1.467705E-04 2.220500E-07 7.286925E-01 1.337570E-02 1.169913E-02 0.000000E+00 7.177904E-01 2.570812E-01 5.342583E-05 0.000000E+00
4.500000E-01 2.847237E+03 -2.170943E+06 2.800737E+03 3.283702E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 6.577118E-01 2.366321E-01 6.867637E-02 6.840039E-01 2.898057E-03 7.644474E-03 1.448544E-04 2.176950E-07 7.922882E-01 1.186451E-02 1.065972E-02 0.000000E+00 7.131987E-01 2.642215E-01 5.543431E-05 0.000000E+00
