xSteel Tliquidus H T Herr OX_LIQUID_m OX_LIQUID_xU OX_LIQUID_xZR OX_LIQUID_xFE OX_LIQUID_xUO2 OX_LIQUID_xZRO2 OX_LIQUID_xFEO OX_LIQUID_xFE2O3 MET_LIQUID_m MET_LIQUID_xU MET_LIQUID_xZR MET_LIQUID_xFE MET_LIQUID_xUO2 MET_LIQUID_xZRO2 MET_LIQUID_xFEO MET_LIQUID_xFE2O3 C1_FCC_m C1_FCC_xU C1_FCC_xZR C1_FCC_xFE C1_FCC_xUO2 C1_FCC_xZRO2 C1_FCC_xFEO C1_FCC_xFE2O3
0.000000E+00 2.714290E+03 -2.769287E+06 2.900000E+03 0.000000E+00 1.000000E+00 1.247480E-01 6.896438E-02 3.596063E-12 6.126580E-01 1.936295E-01 5.150347E-13 7.359169E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
5.000000E-02 2.802012E+03 -2.702805E+06 2.786529E+03 6.458550E-02 8.596907E-01 1.528570E-01 6.836941E-02 5.776368E-02 5.253440E-01 1.951634E-01 5.008490E-04 1.621759E-06 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.903093E-01 4.373647E-02 2.490136E-02 0.000000E+00 7.568352E-01 1.745197E-01 7.214276E-06 0.000000E+00
1.000000E-01 2.824909E+03 -2.636322E+06 2.797959E+03 1.085093E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 6.909556E-01 2.031976E-01 7.133792E-02 1.443116E-01 3.997056E-01 1.809362E-01 5.095848E-04 1.455334E-06 4.090444E-01 3.260661E-02 2.152476E-02 0.000000E+00 7.422204E-01 2.036340E-01 1.413554E-05 0.000000E+00
1.500000E-01 2.834765E+03 -2.569839E+06 2.805861E+03 3.494352E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 6.353767E-01 2.410601E-01 6.850831E-02 2.356461E-01 2.942788E-01 1.599884E-01 5.168137E-04 1.462062E-06 5.146233E-01 2.603786E-02 1.872827E-02 0.000000E+00 7.350115E-01 2.202008E-01 2.150796E-05 0.000000E+00
2.000000E-01 2.839876E+03 -2.503357E+06 2.810910E+03 4.446723E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 6.168797E-01 2.642988E-01 6.479952E-02 3.237564E-01 2.093233E-01 1.372919E-01 5.285406E-04 1.508908E-06 5.831203E-01 2.175083E-02 1.660601E-02 0.000000E+00 7.300630E-01 2.315514E-01 2.866100E-05 0.000000E+00
2.500000E-01 2.842820E+03 -2.436874E+06 2.814153E+03 -3.167529E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 6.128297E-01 2.762297E-01 6.201280E-02 4.074800E-01 1.405225E-01 1.132296E-01 5.238480E-04 1.488174E-06 6.371703E-01 1.873473E-02 1.498360E-02 0.000000E+00 7.258549E-01 2.403914E-01 3.539803E-05 0.000000E+00
3.000000E-01 2.844644E+03 -2.370391E+06 2.816306E+03 7.918309E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 6.153168E-01 2.788146E-01 6.099056E-02 4.871057E-01 8.519559E-02 8.740163E-02 4.905326E-04 1.347513E-06 6.846832E-01 1.649367E-02 1.370942E-02 0.000000E+00 7.219917E-01 2.477635E-01 4.170149E-05 0.000000E+00
3.500000E-01 2.845838E+03 -2.303909E+06 2.817781E+03 -1.109163E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 6.209082E-01 2.723129E-01 6.248721E-02 5.632900E-01 4.256260E-02 5.892871E-02 4.175304E-04 1.056518E-06 7.290918E-01 1.475911E-02 1.268125E-02 0.000000E+00 7.183541E-01 2.541579E-01 4.760714E-05 0.000000E+00
4.000000E-01 2.846656E+03 -2.237426E+06 2.818818E+03 -3.996236E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 6.278446E-01 2.558467E-01 6.731584E-02 6.367961E-01 1.312844E-02 2.662936E-02 2.829614E-04 5.876740E-07 7.721554E-01 1.337386E-02 1.183215E-02 0.000000E+00 7.148939E-01 2.598468E-01 5.316125E-05 0.000000E+00
4.500000E-01 2.847237E+03 -2.170943E+06 2.800750E+03 7.239849E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 6.577115E-01 2.366317E-01 6.867616E-02 6.840041E-01 2.898188E-03 7.644725E-03 1.448668E-04 2.177189E-07 7.922885E-01 1.186476E-02 1.065998E-02 0.000000E+00 7.131986E-01 2.642211E-01 5.543640E-05 0.000000E+00
5.000000E-01 2.847665E+03 -2.104460E+06 2.763807E+03 3.403770E-03 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 7.114880E-01 2.241096E-01 6.379452E-02 7.025865E-01 2.478399E-03 6.905024E-03 1.257134E-04 1.813572E-07 7.885120E-01 1.023468E-02 9.218378E-03 0.000000E+00 7.132203E-01 2.672725E-01 5.406022E-05 0.000000E+00
5.500000E-01 2.847989E+03 -2.037978E+06 2.729252E+03 -8.841982E-03 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 7.646112E-01 2.127323E-01 5.958201E-02 7.191719E-01 2.136657E-03 6.268019E-03 1.089588E-04 1.509122E-07 7.853888E-01 8.872508E-03 8.008164E-03 0.000000E+00 7.131828E-01 2.698841E-01 5.238967E-05 0.000000E+00
6.000000E-01 2.848241E+03 -1.971495E+06 2.696925E+03 -5.698762E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 8.171991E-01 2.023383E-01 5.591213E-02 7.340829E-01 1.855914E-03 5.716110E-03 9.448992E-05 1.257159E-07 7.828009E-01 7.728652E-03 6.988154E-03 0.000000E+00 7.131190E-01 2.721136E-01 5.054339E-05 0.000000E+00
