xSteel Tliquidus H T Herr OX_LIQUID_m OX_LIQUID_xU OX_LIQUID_xZR OX_LIQUID_xFE OX_LIQUID_xUO2 OX_LIQUID_xZRO2 OX_LIQUID_xFEO OX_LIQUID_xFE2O3 MET_LIQUID_m MET_LIQUID_xU MET_LIQUID_xZR MET_LIQUID_xFE MET_LIQUID_xUO2 MET_LIQUID_xZRO2 MET_LIQUID_xFEO MET_LIQUID_xFE2O3 C1_FCC_m C1_FCC_xU C1_FCC_xZR C1_FCC_xFE C1_FCC_xUO2 C1_FCC_xZRO2 C1_FCC_xFEO C1_FCC_xFE2O3
0.000000E+00 2.714290E+03 -2.769287E+06 2.900000E+03 0.000000E+00 1.000000E+00 1.247480E-01 6.896438E-02 3.596063E-12 6.126580E-01 1.936295E-01 5.150347E-13 7.359169E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
5.000000E-02 2.802012E+03 -2.702805E+06 2.887214E+03 -2.956564E-02 8.970070E-01 8.037877E-02 4.127427E-02 1.009670E-03 6.471330E-01 2.301074E-01 9.602323E-05 6.195146E-07 1.529930E-01 5.229013E-01 1.406388E-01 3.204187E-01 7.498742E-03 8.517600E-03 2.482072E-05 2.736456E-08 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-01 2.824909E+03 -2.636322E+06 2.845243E+03 -1.592651E-02 8.592708E-01 6.239272E-02 2.974063E-02 8.903786E-04 6.604277E-01 2.464028E-01 1.443623E-04 1.132669E-06 2.407292E-01 4.559932E-01 1.191766E-01 4.117749E-01 5.591626E-03 7.424146E-03 3.944197E-05 4.599810E-08 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.500000E-01 2.834765E+03 -2.569839E+06 2.829909E+03 -1.873256E-01 7.512458E-01 5.272904E-02 2.431379E-02 8.626090E-04 6.600074E-01 2.618947E-01 1.905971E-04 1.676687E-06 3.114068E-01 4.027205E-01 1.060925E-01 4.791756E-01 4.720471E-03 7.234644E-03 5.619939E-05 6.950645E-08 8.734734E-02 2.641352E-02 1.657276E-02 0.000000E+00 7.677279E-01 1.892619E-01 2.378747E-05 0.000000E+00
2.000000E-01 2.839876E+03 -2.503357E+06 2.828207E+03 -7.482479E-02 6.074009E-01 4.686478E-02 2.139355E-02 8.780942E-04 6.526107E-01 2.780131E-01 2.372842E-04 2.248582E-06 3.744598E-01 3.587055E-01 9.730951E-02 5.322627E-01 4.231166E-03 7.414799E-03 7.620677E-05 1.000031E-07 2.181393E-01 2.206772E-02 1.479366E-02 0.000000E+00 7.613357E-01 2.017719E-01 3.096239E-05 0.000000E+00
2.500000E-01 2.842820E+03 -2.436874E+06 2.825127E+03 -1.049639E-01 4.687769E-01 4.285114E-02 1.941562E-02 8.930653E-04 6.438396E-01 2.927200E-01 2.775558E-04 2.779645E-06 4.337052E-01 3.230577E-01 9.029304E-02 5.750889E-01 3.855575E-03 7.609556E-03 9.502690E-05 1.304032E-07 3.475179E-01 1.893308E-02 1.357076E-02 0.000000E+00 7.524861E-01 2.149725E-01 3.749482E-05 0.000000E+00
3.000000E-01 2.844644E+03 -2.370391E+06 2.820463E+03 -1.920154E-01 3.342001E-01 4.017511E-02 1.812474E-02 9.125058E-04 6.319478E-01 3.085256E-01 3.107199E-04 3.239850E-06 4.902657E-01 2.923540E-01 8.519793E-02 6.109427E-01 3.531047E-03 7.862219E-03 1.119361E-04 1.588925E-07 4.755342E-01 1.660716E-02 1.254324E-02 0.000000E+00 7.454430E-01 2.253628E-01 4.372875E-05 0.000000E+00
3.500000E-01 2.845838E+03 -2.303909E+06 2.816067E+03 2.283869E-01 2.027088E-01 3.832191E-02 1.719281E-02 9.328609E-04 6.198068E-01 3.234022E-01 3.395168E-04 3.663285E-06 5.454580E-01 2.664520E-01 8.102540E-02 6.410143E-01 3.265202E-03 8.115395E-03 1.274747E-04 1.860658E-07 6.018332E-01 1.478483E-02 1.182939E-02 0.000000E+00 7.360827E-01 2.372536E-01 4.937534E-05 0.000000E+00
4.000000E-01 2.846656E+03 -2.237426E+06 2.810195E+03 1.869431E-01 7.522329E-02 3.749803E-02 1.673794E-02 9.631335E-04 6.026810E-01 3.417547E-01 3.609158E-04 3.995281E-06 5.988950E-01 2.422795E-01 7.860916E-02 6.675016E-01 3.001664E-03 8.467176E-03 1.406710E-04 2.096375E-07 7.258818E-01 1.333757E-02 1.121699E-02 0.000000E+00 7.277933E-01 2.475973E-01 5.479217E-05 0.000000E+00
4.500000E-01 2.847237E+03 -2.170943E+06 2.773029E+03 6.489569E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 6.508528E-01 2.228541E-01 7.541074E-02 6.911239E-01 2.497923E-03 7.988168E-03 1.249851E-04 1.794433E-07 7.991472E-01 1.217195E-02 1.061768E-02 0.000000E+00 7.220660E-01 2.550843E-01 5.996549E-05 0.000000E+00
