xSteel Tliquidus H T Herr OX_LIQUID_m OX_LIQUID_xU OX_LIQUID_xZR OX_LIQUID_xFE OX_LIQUID_xUO2 OX_LIQUID_xZRO2 OX_LIQUID_xFEO OX_LIQUID_xFE2O3 MET_LIQUID_m MET_LIQUID_xU MET_LIQUID_xZR MET_LIQUID_xFE MET_LIQUID_xUO2 MET_LIQUID_xZRO2 MET_LIQUID_xFEO MET_LIQUID_xFE2O3 C1_FCC_m C1_FCC_xU C1_FCC_xZR C1_FCC_xFE C1_FCC_xUO2 C1_FCC_xZRO2 C1_FCC_xFEO C1_FCC_xFE2O3
0.000000E+00 2.714290E+03 -2.769287E+06 2.900000E+03 0.000000E+00 1.000000E+00 1.247480E-01 6.896438E-02 3.596063E-12 6.126580E-01 1.936295E-01 5.150347E-13 7.359169E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
5.000000E-02 2.802012E+03 -2.702805E+06 2.821313E+03 2.227653E-02 1.000000E+00 1.260444E-01 6.846741E-02 2.598548E-12 6.111873E-01 1.943008E-01 4.046698E-13 4.906110E-13 5.000000E-02 1.739308E-10 7.773402E-11 1.000000E+00 6.769194E-12 3.971429E-12 2.499539E-10 1.572691E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-01 2.824909E+03 -2.636322E+06 2.753605E+03 7.699728E-03 1.000000E+00 1.271297E-01 6.805140E-02 2.723346E-12 6.099561E-01 1.948628E-01 4.046697E-13 4.906108E-13 1.000000E-01 1.704288E-10 7.589056E-11 1.000000E+00 6.769194E-12 3.971429E-12 2.450903E-10 1.572691E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.500000E-01 2.834765E+03 -2.569839E+06 2.707292E+03 1.927209E-04 9.590839E-01 1.298178E-01 6.957507E-02 2.903014E-12 6.033783E-01 1.972287E-01 4.064745E-13 4.927989E-13 1.500000E-01 1.679310E-10 7.457902E-11 1.000000E+00 6.769194E-12 3.971429E-12 2.416300E-10 1.572691E-12 4.091605E-02 6.676530E-02 3.132108E-02 0.000000E+00 7.611389E-01 1.407748E-01 3.623613E-13 0.000000E+00
2.000000E-01 2.839876E+03 -2.503357E+06 2.686407E+03 1.957750E-02 8.496537E-01 1.362143E-01 7.490815E-02 4.615288E-12 5.858259E-01 2.030517E-01 5.241298E-13 7.489127E-13 2.000000E-01 1.667761E-10 7.397346E-11 1.000000E+00 6.769194E-12 3.971429E-12 2.400322E-10 1.572691E-12 1.503463E-01 6.791169E-02 3.232053E-02 0.000000E+00 7.552610E-01 1.445068E-01 3.642811E-13 0.000000E+00
2.500000E-01 2.842820E+03 -2.436874E+06 2.665304E+03 -4.176982E-07 7.551494E-01 1.430485E-01 8.047275E-02 3.592095E-12 5.678765E-01 2.086023E-01 4.172131E-13 5.058181E-13 2.500000E-01 1.655903E-10 7.335233E-11 1.000000E+00 6.769194E-12 3.971429E-12 2.383933E-10 1.572691E-12 2.448506E-01 6.898360E-02 3.321052E-02 0.000000E+00 7.500020E-01 1.478038E-01 3.659836E-13 0.000000E+00
3.000000E-01 2.844644E+03 -2.370391E+06 2.643024E+03 -2.048910E-08 6.691286E-01 1.507640E-01 8.663913E-02 5.584375E-12 5.483306E-01 2.142663E-01 5.384010E-13 7.693044E-13 3.000000E-01 1.643175E-10 7.268626E-11 1.000000E+00 6.769194E-12 3.971429E-12 2.366358E-10 1.572691E-12 3.308714E-01 7.001540E-02 3.403174E-02 0.000000E+00 7.451535E-01 1.507993E-01 3.675399E-13 0.000000E+00
3.500000E-01 2.845838E+03 -2.303909E+06 2.620115E+03 -1.955777E-08 5.943581E-01 1.591488E-01 9.323236E-02 6.167732E-12 5.277257E-01 2.198931E-01 5.461323E-13 7.803513E-13 3.500000E-01 1.629859E-10 7.199010E-11 1.000000E+00 6.769194E-12 3.971429E-12 2.347987E-10 1.572691E-12 4.056419E-01 7.091914E-02 3.471748E-02 0.000000E+00 7.409872E-01 1.533762E-01 3.688674E-13 0.000000E+00
4.000000E-01 2.846656E+03 -2.237426E+06 2.596951E+03 3.492460E-08 5.300406E-01 1.681749E-01 1.002521E-01 5.034881E-12 5.060350E-01 2.255380E-01 4.354547E-13 5.279337E-13 4.000000E-01 1.616151E-10 7.127420E-11 1.000000E+00 6.769194E-12 3.971429E-12 2.329095E-10 1.572691E-12 4.699594E-01 7.165586E-02 3.525239E-02 0.000000E+00 7.375783E-01 1.555134E-01 3.699486E-13 0.000000E+00
4.500000E-01 2.847237E+03 -2.170943E+06 2.574008E+03 4.931166E-03 4.753339E-01 1.777625E-01 1.076735E-01 5.627914E-12 4.833253E-01 2.312387E-01 4.420774E-13 5.359630E-13 4.500000E-01 1.602324E-10 7.055299E-11 1.000000E+00 6.769194E-12 3.971429E-12 2.310059E-10 1.572691E-12 5.246661E-01 7.219148E-02 3.562901E-02 0.000000E+00 7.349653E-01 1.572142E-01 3.707788E-13 0.000000E+00
