xSteel Tliquidus H T Herr OX_LIQUID_m OX_LIQUID_xU OX_LIQUID_xZR OX_LIQUID_xFE OX_LIQUID_xUO2 OX_LIQUID_xZRO2 OX_LIQUID_xFEO OX_LIQUID_xFE2O3 MET_LIQUID_m MET_LIQUID_xU MET_LIQUID_xZR MET_LIQUID_xFE MET_LIQUID_xUO2 MET_LIQUID_xZRO2 MET_LIQUID_xFEO MET_LIQUID_xFE2O3 C1_FCC_m C1_FCC_xU C1_FCC_xZR C1_FCC_xFE C1_FCC_xUO2 C1_FCC_xZRO2 C1_FCC_xFEO C1_FCC_xFE2O3
0.000000E+00 2.714290E+03 -2.769287E+06 2.900000E+03 0.000000E+00 1.000000E+00 1.247480E-01 6.896438E-02 3.596063E-12 6.126580E-01 1.936295E-01 5.150347E-13 7.359169E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
5.000000E-02 2.802012E+03 -2.702805E+06 2.887214E+03 2.705663E-02 8.970070E-01 8.037877E-02 4.127427E-02 1.009671E-03 6.471330E-01 2.301074E-01 9.602327E-05 6.195149E-07 1.529930E-01 5.229012E-01 1.406388E-01 3.204187E-01 7.498744E-03 8.517602E-03 2.482073E-05 2.736458E-08 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-01 2.824909E+03 -2.636322E+06 2.845242E+03 -1.536337E-02 8.592708E-01 6.239272E-02 2.974063E-02 8.903786E-04 6.604277E-01 2.464028E-01 1.443623E-04 1.132669E-06 2.407292E-01 4.559932E-01 1.191766E-01 4.117749E-01 5.591626E-03 7.424146E-03 3.944197E-05 4.599810E-08 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.500000E-01 2.834765E+03 -2.569839E+06 2.828308E+03 -1.158923E-01 7.540200E-01 5.365342E-02 2.489353E-02 8.646806E-04 6.580352E-01 2.623679E-01 1.835051E-04 1.588449E-06 3.107706E-01 4.048801E-01 1.032502E-01 4.801431E-01 4.703115E-03 6.967397E-03 5.605635E-05 6.926908E-08 8.520896E-02 2.689173E-02 1.688410E-02 0.000000E+00 7.666211E-01 1.895801E-01 2.295478E-05 0.000000E+00
2.000000E-01 2.839876E+03 -2.503357E+06 2.824844E+03 1.235801E-01 6.148060E-01 4.913214E-02 2.275470E-02 8.837103E-04 6.482096E-01 2.788012E-01 2.164142E-04 1.971574E-06 3.736237E-01 3.647685E-01 9.070740E-02 5.334597E-01 4.222272E-03 6.766663E-03 7.538308E-05 9.869652E-08 2.115703E-01 2.313772E-02 1.580162E-02 0.000000E+00 7.546580E-01 2.063744E-01 2.811958E-05 0.000000E+00
2.500000E-01 2.842820E+03 -2.436874E+06 2.820223E+03 -9.902839E-02 4.804232E-01 4.655410E-02 2.157820E-02 9.027734E-04 6.371406E-01 2.935829E-01 2.389096E-04 2.243223E-06 4.331178E-01 3.329169E-01 8.063510E-02 5.758749E-01 3.870156E-03 6.609787E-03 9.298064E-05 1.271016E-07 3.364590E-01 2.065268E-02 1.521646E-02 0.000000E+00 7.418108E-01 2.222879E-01 3.209802E-05 0.000000E+00
3.000000E-01 2.844644E+03 -2.370391E+06 2.815239E+03 9.862103E-02 3.493062E-01 4.531513E-02 2.105101E-02 9.225014E-04 6.254753E-01 3.069814E-01 2.520428E-04 2.403425E-06 4.905887E-01 3.067855E-01 7.245454E-02 6.105682E-01 3.599654E-03 6.483214E-03 1.087864E-04 1.538418E-07 4.601040E-01 1.902547E-02 1.499886E-02 0.000000E+00 7.287934E-01 2.371473E-01 3.488571E-05 0.000000E+00
3.500000E-01 2.845838E+03 -2.303909E+06 2.810099E+03 5.350359E-02 2.208269E-01 4.513026E-02 2.103943E-02 9.431852E-04 6.133948E-01 3.192332E-01 2.564336E-04 2.453143E-06 5.467176E-01 2.848291E-01 6.572605E-02 6.395621E-01 3.383096E-03 6.376585E-03 1.228401E-04 1.785665E-07 5.824555E-01 1.803326E-02 1.509066E-02 0.000000E+00 7.159635E-01 2.508760E-01 3.647119E-05 0.000000E+00
4.000000E-01 2.846656E+03 -2.237426E+06 2.804710E+03 -6.658951E-02 9.478565E-02 4.589993E-02 2.151044E-02 9.651968E-04 6.007571E-01 3.306125E-01 2.523113E-04 2.392762E-06 6.018940E-01 2.660453E-01 6.012333E-02 6.642133E-01 3.202087E-03 6.280679E-03 1.350986E-04 2.008558E-07 7.033204E-01 1.756012E-02 1.548072E-02 0.000000E+00 7.034117E-01 2.635106E-01 3.682466E-05 0.000000E+00
4.500000E-01 2.847237E+03 -2.170943E+06 2.791050E+03 -2.066859E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 6.561122E-01 2.496911E-01 5.545312E-02 6.856838E-01 2.961793E-03 6.071515E-03 1.385222E-04 2.068895E-07 7.938878E-01 1.722139E-02 1.570585E-02 0.000000E+00 6.939238E-01 2.731134E-01 3.549195E-05 0.000000E+00
